PC1,PC2,PC3,PC4,PC5,PC6,NP_CCC
-1.889045415,-2.704760123,0.318173514,0.222702801,-0.160232429,0.152275632,0
-1.791779657,-2.772341449,0.430871919,0.266893029,0.19191383,0.311847644,0
-1.702866838,-2.681004751,0.290275154,0.34742182,0.406550611,0.675316503,0
-2.166787741,-2.508991498,0.001054693,0.108439581,-1.131604282,-0.253990218,1
-2.160979472,-1.891714503,-0.270767646,0.541790756,-0.618087067,1.329138953,1
-1.616256357,-2.666197878,0.257938612,0.207526859,0.257514221,0.202380023,0
-1.636237134,2.878759275,-1.135294669,-2.636701249,-3.033534072,-4.193773023,1
-2.130004824,-2.262164572,-0.548411134,0.594756698,-0.183053897,2.415515589,1
7.328738701,-0.834583111,-0.535122154,-0.550578996,0.469736395,-0.617781111,0
17.27364913,-2.511527331,-3.430488567,-0.090194333,-3.183597991,1.517303394,0
13.38923725,-3.846154184,-2.916887985,-0.700671737,-2.980328945,-0.541397219,0
2.695347585,-0.032901543,0.94610077,-0.922888558,3.508325363,-1.626971219,0
2.614525847,-0.310914462,1.09174764,0.094810679,4.002760305,0.497959636,0
2.641386773,0.002159189,1.765325599,-0.328368551,2.080814571,-0.746154414,0
15.75742963,-0.972038628,-3.294208971,-0.135168001,-2.174102002,1.04657765,0
0.600797923,0.789397514,-1.371579786,-0.405074027,-0.618503047,-0.067350021,1
17.62214881,-0.449208621,-3.944008829,-1.094831007,-5.309791305,-0.979430731,0
15.26409516,-0.541480104,-2.357393163,-0.646452048,-3.595536569,-0.646242121,0
7.328738701,-0.834583111,-0.535122154,-0.550578996,0.469736395,-0.617781111,0
1.37221018,-1.001303485,0.106878993,-0.023452178,2.047622843,0.383131344,0
7.328738701,-0.834583111,-0.535122154,-0.550578996,0.469736395,-0.617781111,0
3.759156776,-1.660210385,1.749638295,-0.817860801,5.037728818,-2.479677036,0
3.923030573,1.125611811,2.198045701,-1.593103371,3.137855096,-4.145931358,0
7.127892207,0.082207767,-0.601897726,-0.546829703,0.854899588,-0.219643083,0
2.155900815,-2.131360779,0.292925313,-0.380113263,3.48287125,-0.386059182,0
3.759156776,-1.660210385,1.749638295,-0.817860801,5.037728818,-2.479677036,0
2.099999018,1.303686928,0.626553387,-0.242160337,3.238040457,0.605709044,0
18.52710581,-2.348342875,-1.45578649,-0.465961927,-1.296214454,0.24101524,0
3.547920326,0.164527888,2.741183864,-0.970538707,2.370303845,-3.307252779,0
3.923030573,1.125611811,2.198045701,-1.593103371,3.137855096,-4.145931358,0
19.17931041,-2.619302069,-2.563990914,-1.731261178,-1.534844708,-2.777290536,0
13.21776579,-1.607273808,-2.503838318,-0.26038338,-1.256936365,0.824706436,0
4.94924168,-0.846192353,-0.387780763,-0.194093753,1.405215165,0.6347719,0
3.605180932,1.651991152,1.316807743,2.939321287,4.477299591,-2.798006337,0
11.93647896,-0.733031191,-0.872929272,-0.568744251,-1.128461863,-0.698561893,0
4.539336505,-1.783605704,0.110421358,-0.443104167,2.178389827,-0.541698177,0
3.735716877,0.021686845,-1.076127125,-0.199379232,-0.113327241,0.187608697,0
8.858943755,-1.015645362,0.22356119,-0.707745251,0.554325216,-1.326383856,0
12.70598402,-0.847470546,-3.552550181,-0.098176038,-4.12654955,1.346768327,0
10.78907448,-0.409347673,-0.941064098,-0.358012266,0.041256906,0.22937576,0
7.328738701,-0.834583111,-0.535122154,-0.550578996,0.469736395,-0.617781111,0
10.78907448,-0.409347673,-0.941064098,-0.358012266,0.041256906,0.22937576,0
7.939216706,0.403273493,0.227467703,-0.618584681,1.077565968,-0.207759876,0
3.899120748,-0.440459817,-0.412872697,-0.127104235,0.701700412,0.471893316,0
3.192161162,1.475400508,2.139488361,-0.191863675,3.051547683,-0.285238527,0
