PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,NP_CCC
-1.889045415,-2.704760123,0.318173514,0.222702801,-0.160232429,0.152275632,-1.087852268,0.00028075,0.013526269,0.521929555,0
-1.791779657,-2.772341449,0.430871919,0.266893029,0.19191383,0.311847644,-0.69363739,0.080856367,0.122997346,0.652473249,0
-1.702866838,-2.681004751,0.290275154,0.34742182,0.406550611,0.675316503,-0.849344579,-0.047583028,-0.277804274,0.602961553,0
-2.166787741,-2.508991498,0.001054693,0.108439581,-1.131604282,-0.253990218,-2.134346507,-0.209246167,-0.276529332,0.176251585,1
-2.160979472,-1.891714503,-0.270767646,0.541790756,-0.618087067,1.329138953,-0.954001437,0.001632023,-0.075980019,0.400770549,1
-1.616256357,-2.666197878,0.257938612,0.207526859,0.257514221,0.202380023,-1.168624219,-0.402129772,0.080173401,0.24548864,0
-1.636237134,2.878759275,-1.135294669,-2.636701249,-3.033534072,-4.193773023,2.152510773,-0.720000662,2.397662592,1.460887994,1
-2.130004824,-2.262164572,-0.548411134,0.594756698,-0.183053897,2.415515589,0.770907606,0.627214843,-0.407655363,-0.604445521,1
7.328738701,-0.834583111,-0.535122154,-0.550578996,0.469736395,-0.617781111,-0.512424766,-0.599764595,0.211612583,-1.065471707,0
17.27364913,-2.511527331,-3.430488567,-0.090194333,-3.183597991,1.517303394,-0.134062211,1.356847321,-0.124809428,2.336022845,0
13.38923725,-3.846154184,-2.916887985,-0.700671737,-2.980328945,-0.541397219,-2.151224674,0.820598476,-1.003790114,0.897865666,0
2.695347585,-0.032901543,0.94610077,-0.922888558,3.508325363,-1.626971219,-0.876427943,-0.582059136,0.122802136,-1.204911448,0
2.614525847,-0.310914462,1.09174764,0.094810679,4.002760305,0.497959636,0.648432483,-0.265654635,1.404748031,-1.512142148,0
2.641386773,0.002159189,1.765325599,-0.328368551,2.080814571,-0.746154414,2.774754281,-0.487164867,1.027971817,-2.624500347,0
15.75742963,-0.972038628,-3.294208971,-0.135168001,-2.174102002,1.04657765,-1.477121176,-0.648468131,0.356280178,-0.064716414,0
0.600797923,0.789397514,-1.371579786,-0.405074027,-0.618503047,-0.067350021,-2.632374505,-1.122359151,0.945937627,-2.367259224,1
17.62214881,-0.449208621,-3.944008829,-1.094831007,-5.309791305,-0.979430731,-1.886887412,0.873693745,0.040819898,1.54508262,0
15.26409516,-0.541480104,-2.357393163,-0.646452048,-3.595536569,-0.646242121,-0.057370003,-1.217786031,-0.045313591,-1.482704496,0
7.328738701,-0.834583111,-0.535122154,-0.550578996,0.469736395,-0.617781111,-0.512424766,-0.599764595,0.211612583,-1.065471707,0
1.37221018,-1.001303485,0.106878993,-0.023452178,2.047622843,0.383131344,-2.03085382,-0.513747323,-0.652070783,-1.219950965,0
7.328738701,-0.834583111,-0.535122154,-0.550578996,0.469736395,-0.617781111,-0.512424766,-0.599764595,0.211612583,-1.065471707,0
3.759156776,-1.660210385,1.749638295,-0.817860801,5.037728818,-2.479677036,-1.716653213,-2.013403571,0.911400338,-2.718334396,0
3.923030573,1.125611811,2.198045701,-1.593103371,3.137855096,-4.145931358,-0.690938218,-2.220283599,1.023761091,-2.468691014,0
7.127892207,0.082207767,-0.601897726,-0.546829703,0.854899588,-0.219643083,-0.299883846,0.059753438,0.456870615,0.039126538,0
2.155900815,-2.131360779,0.292925313,-0.380113263,3.48287125,-0.386059182,-1.379092426,-1.37174588,-0.045630202,-2.1556407,0
3.759156776,-1.660210385,1.749638295,-0.817860801,5.037728818,-2.479677036,-1.716653213,-2.013403571,0.911400338,-2.718334396,0
2.099999018,1.303686928,0.626553387,-0.242160337,3.238040457,0.605709044,0.34344387,-0.040592449,0.487098475,0.030252056,0
18.52710581,-2.348342875,-1.45578649,-0.465961927,-1.296214454,0.24101524,3.140173144,0.540534639,-0.340275739,0.907192407,0
3.547920326,0.164527888,2.741183864,-0.970538707,2.370303845,-3.307252779,0.142796912,-1.507696951,0.157538027,-2.822408977,0
3.923030573,1.125611811,2.198045701,-1.593103371,3.137855096,-4.145931358,-0.690938218,-2.220283599,1.023761091,-2.468691014,0
19.17931041,-2.619302069,-2.563990914,-1.731261178,-1.534844708,-2.777290536,-1.320527364,-0.343582688,0.335970213,1.068871265,0
13.21776579,-1.607273808,-2.503838318,-0.26038338,-1.256936365,0.824706436,-0.810477146,-0.121462917,-0.079286552,0.439409146,0
4.94924168,-0.846192353,-0.387780763,-0.194093753,1.405215165,0.6347719,0.509564353,0.460302346,0.600633848,-0.20360986,0
3.605180932,1.651991152,1.316807743,2.939321287,4.477299591,-2.798006337,3.210780777,-0.683419696,-6.520695877,6.104587395,0
11.93647896,-0.733031191,-0.872929272,-0.568744251,-1.128461863,-0.698561893,0.329139263,-0.40537295,-0.284981202,-0.659516742,0
4.539336505,-1.783605704,0.110421358,-0.443104167,2.178389827,-0.541698177,-1.01123311,-0.363607141,-0.210488219,-1.049698323,0
3.735716877,0.021686845,-1.076127125,-0.199379232,-0.113327241,0.187608697,-1.857709692,-0.833321384,0.652162897,-1.895968993,0
8.858943755,-1.015645362,0.22356119,-0.707745251,0.554325216,-1.326383856,0.658403333,-0.716896155,-0.088112514,-1.363037209,0
12.70598402,-0.847470546,-3.552550181,-0.098176038,-4.12654955,1.346768327,-1.06041654,0.819683169,0.102136985,0.522659679,0
10.78907448,-0.409347673,-0.941064098,-0.358012266,0.041256906,0.22937576,0.739886569,0.164889951,0.479127304,0.218441146,0
