PC1,PC2,NP_CCC
-1.889045415,-2.704760123,0
-1.791779657,-2.772341449,0
-1.702866838,-2.681004751,0
-2.166787741,-2.508991498,1
-2.160979472,-1.891714503,1
-1.616256357,-2.666197878,0
-1.636237134,2.878759275,1
-2.130004824,-2.262164572,1
7.328738701,-0.834583111,0
17.27364913,-2.511527331,0
13.38923725,-3.846154184,0
2.695347585,-0.032901543,0
2.614525847,-0.310914462,0
2.641386773,0.002159189,0
15.75742963,-0.972038628,0
0.600797923,0.789397514,1
17.62214881,-0.449208621,0
15.26409516,-0.541480104,0
7.328738701,-0.834583111,0
1.37221018,-1.001303485,0
7.328738701,-0.834583111,0
3.759156776,-1.660210385,0
3.923030573,1.125611811,0
7.127892207,0.082207767,0
2.155900815,-2.131360779,0
3.759156776,-1.660210385,0
2.099999018,1.303686928,0
18.52710581,-2.348342875,0
3.547920326,0.164527888,0
3.923030573,1.125611811,0
19.17931041,-2.619302069,0
13.21776579,-1.607273808,0
4.94924168,-0.846192353,0
3.605180932,1.651991152,0
11.93647896,-0.733031191,0
4.539336505,-1.783605704,0
3.735716877,0.021686845,0
8.858943755,-1.015645362,0
12.70598402,-0.847470546,0
10.78907448,-0.409347673,0
7.328738701,-0.834583111,0
10.78907448,-0.409347673,0
7.939216706,0.403273493,0
3.899120748,-0.440459817,0
3.192161162,1.475400508,0
2.930116514,-1.144363641,0
15.95457241,-1.552737722,0
1.377944625,0.520609962,0
15.37703447,-2.81481642,0
9.903277363,0.488949844,0
3.248531618,-1.300973087,0
1.4968029,0.551866037,0
16.23653662,-0.598724833,0
18.99986993,-3.426703741,0
4.477748076,-1.435341852,0
3.022662062,-0.501619577,0
3.008933524,-1.968776395,0
2.542402346,1.850027621,0
14.80375162,-0.851208423,1
0.596578977,-0.221942091,0
-0.126590649,1.035987132,1
2.452941808,1.314336187,0
1.373841313,-0.079648231,0
3.057706436,0.276226277,0
2.414209173,1.258187432,0
4.751034726,-0.948774635,0
4.484996831,-0.157892559,0
4.876532448,-0.637404492,0
5.901788076,0.29659562,0
6.252991011,-1.199890157,0
5.695901299,-1.186994619,0
12.06144382,-1.902652725,0
11.02665816,-1.799162108,0
11.62157858,-0.652397808,0
9.142023723,-1.927689318,0
5.469619032,-0.912724492,0
13.88455006,-2.397783617,0
7.328738701,-0.834583111,0
7.939216706,0.403273493,0
10.87759722,-0.396714888,0
1.819501597,1.10598939,0
2.086969717,1.59695958,0
1.588756385,0.6687833,0
1.92879501,-2.303444255,0
1.253043142,-0.724638265,0
11.75002154,-0.538279651,0
1.201554307,0.749166866,0
1.311270328,0.190041079,0
2.536098935,-1.219949463,0
-0.097756675,-1.420302904,1
6.490690983,0.752872733,0
2.028654666,0.288851689,0
2.157004011,0.423036658,0
-0.762566486,-1.389376215,0
-0.330465036,-2.264312389,0
4.381085252,-0.656118075,0
10.99656216,-2.021122261,0
3.813293867,0.487395116,0
11.66817813,0.160458666,0
6.502132794,-0.544241654,0
6.361791215,-1.669210412,0
14.91284125,-1.566016188,0
4.466085099,-1.583777076,0
3.179956385,1.606098383,0
14.66527427,0.087598773,0
5.515205483,-1.045612857,0
17.41010728,-2.192478847,0
4.543604517,0.563473795,0
5.686419837,-0.744737874,0
12.82241715,0.564605477,0
3.482382592,0.428931891,0
13.68011859,-0.742131244,0
3.47926153,2.161171886,0
5.418367794,0.004348675,1
6.118047884,-0.697066515,1
3.059268451,0.417882549,0
2.719080263,0.539562833,0
3.880654639,0.896243538,0
5.626732595,0.640346657,0
4.756569636,-0.252607896,0
15.88981863,-2.601069996,0
15.19336719,-1.872825173,0
14.92858102,-0.631790429,0
2.807547767,-0.258243519,0
0.640645778,1.86084064,0
7.328738701,-0.834583111,0
7.939216706,0.403273493,0
0.596578977,-0.221942091,0
1.36210951,1.35765104,0
2.247701949,3.50231103,0
1.862481684,3.578600203,0
2.048907635,3.541454234,0
2.534727202,3.445196084,0
2.06936345,4.244254438,0
2.158535033,3.873730608,0
2.383020877,2.936785717,0
-0.0332928,1.621870691,1
0.623553465,2.372089417,0
1.174892091,2.844688575,0
3.011373425,3.82926534,0
2.453530906,2.838209447,0
2.637492257,3.658762471,0
2.501047047,3.602432119,0
2.367054153,3.548751001,0
2.105904717,3.44882727,0
3.085510667,4.257157256,0
1.379178101,2.726285736,0
2.06936345,4.244254438,0
2.118830764,3.218107259,0
2.02893923,3.020244038,0
1.965527241,4.380406587,0
1.789834393,2.492393862,0
1.527246689,1.911710415,0
1.801934016,3.294194339,0
1.758648184,3.040885716,0
1.779445965,3.164177055,0
1.826311894,3.431487682,0
1.85252245,3.576477306,0
2.082551494,3.058213993,0
1.92873801,2.648502314,0
1.771372799,2.232345243,0
1.781385659,4.934963801,0
1.609843114,1.808690315,0
1.665142172,5.278086294,0
2.395504301,2.306471822,0
2.323774876,2.929247633,0
1.006972926,4.285442082,0
3.306478219,2.838612105,0
-1.310111496,4.517205228,0
-1.412056398,4.228258708,1
-1.186930248,4.793901539,0
-0.827729064,4.866292675,0
-0.759355632,5.010177069,0
-0.572291744,5.059819118,0
-0.679045129,4.918871077,0
0.23721542,1.610118408,0
-0.714000764,1.029120961,0
-1.175355905,0.651565068,0
-0.445899107,2.049389164,0
0.02111307,0.697526834,0
0.220474957,0.040376627,0
-0.295587617,1.142961195,0
-0.389567653,0.912062552,0
-0.209822774,1.367717677,0
-0.209822774,1.367717677,0
-0.276121625,1.076930346,0
-0.353155553,0.799480549,0
-0.144688074,1.51550141,0
-0.323169201,1.108819525,0
-0.455678602,0.805223523,0
-0.06177053,-0.34949372,0
-0.154899425,0.898676769,0
-0.253806211,1.86366751,0
-0.31652178,2.392208118,0
-0.469461674,1.298554588,0
-0.743653872,1.225281397,0
-0.15499997,1.288392178,0
-0.262977164,1.444381348,0
-0.093727367,1.078941588,0
-0.33189634,1.672995802,0
0.908640882,0.110199497,0
0.344748094,0.787264381,0
-0.719258648,1.907191485,0
-0.287802141,0.978961851,0
-0.123814835,1.796235926,0
1.589816353,0.9134737,0
-0.135012813,1.599760651,0
-1.223910564,1.859583128,1
-0.685990342,1.603890566,0
0.275702966,1.121793231,0
-0.321959115,1.316570385,0
-0.092368852,1.423651853,0
-0.7446806,4.859056704,0
-1.201811923,4.615527599,0
-1.374412199,0.446824482,1
-0.089602401,1.031875371,0
0.118146811,0.36934679,0
-2.01788528,-4.56826198,0
-0.364848401,1.0149831,0
-0.08353641,1.180244935,0
