PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,NP_CCC
-2.131530064,3.620065905,1.821134082,-0.163106591,1.467698589,-0.28803011,-0.154232354,-0.167250211,0.081830356,0.075279239,0
-2.034310961,3.531132621,1.882681669,-0.262237673,1.10036214,-0.375604929,0.031695987,-0.421565962,-0.257502923,0.11337604,0
-1.951179545,3.575960555,1.614257941,-0.279100325,1.218852575,-0.820084632,-0.110905069,-0.435604644,-0.168175696,1.732602175,0
-1.8682983,3.549083896,1.586590502,-0.270936492,1.242942022,-0.469781132,-0.502784777,-0.076623911,0.583106189,0.866557502,0
14.85706849,2.256028463,-2.986406616,-0.093817866,3.031475509,0.687289295,2.708042205,-0.738300171,-2.412124009,-3.53381334,0
11.5516261,4.384504175,-1.351590637,-0.45519235,3.306625787,0.787137076,1.035820335,1.445362693,-0.718107886,-3.074849993,0
2.119380939,0.057096323,1.326223275,-0.704964608,-4.039239746,-0.747557645,-1.930740277,-1.248668127,-0.402586899,-1.999869512,0
2.155899257,-0.86179756,1.586686832,-0.399523556,-3.275725246,0.714668129,-1.259914295,-0.382484588,0.390215726,0.366462156,0
13.56305456,1.246484357,-3.591537749,0.17057532,2.458403418,0.47488858,-0.070538639,0.374869559,1.104859304,0.367847478,0
13.16677016,0.346178017,-2.975775589,0.406075861,2.979823642,1.774080546,-0.050239778,1.826624069,2.393239907,2.857343794,0
6.127938958,0.919396119,-0.302864677,-0.47904387,-0.335784341,0.38044072,-0.966697635,1.09155561,0.771167233,-0.017061235,0
3.369322722,1.383380151,2.654334897,-1.55796328,-4.161632513,-0.773754749,-3.769295806,2.369040438,1.897680037,-1.450842568,0
16.23899195,0.717645265,-1.734731305,-0.754582832,0.625982235,0.813205556,2.899864753,0.463041016,-2.677131,2.536361761,0
3.006748759,-0.883780336,3.033476218,-0.643917414,-2.729439063,0.61575243,-2.493220444,3.024670591,1.497038791,0.073614915,0
11.30712836,1.71752835,-2.406799984,-0.302184414,1.684619233,0.172505395,0.484975806,0.311794276,-0.101895291,0.040716099,0
3.93331664,0.916934926,-0.052215381,-0.578515592,-1.417525492,0.013237679,-0.192720723,-0.739963094,-0.993717811,-1.582336236,0
2.86393694,0.95339757,-0.865688148,0.189348468,0.204519043,0.317135482,-2.345907089,0.069761011,2.434333276,-1.386001735,0
7.621385341,0.46320459,0.338929536,-0.623954057,-0.744980849,0.573684823,-0.570228315,1.706592491,0.384988394,1.521861119,0
9.092678899,0.009969588,-1.129954657,-0.38215635,-0.253647322,0.571860558,0.619127101,0.310504499,-1.033622226,-0.320955354,0
6.691991828,-0.950980328,-0.212464874,-0.912276293,-0.833367028,1.31027049,0.477519398,0.438069796,-1.281704343,-0.085079336,0
3.042504647,1.044797654,-0.102129218,-0.185045035,-0.246336491,-0.405691302,-1.250176754,-0.020452838,0.510730535,0.532187524,0
2.468839249,-2.374410194,1.253515057,-0.405568259,-3.383934401,-0.12524412,-1.179617542,0.080395598,0.017103269,2.995489263,0
2.484103792,1.288832736,1.341793734,-1.157233006,-3.091945085,-1.494960264,-3.244491988,0.859835056,1.677681512,1.029368508,0
0.832264402,0.424754291,0.251326845,0.297051715,-0.97363072,-0.138239804,-2.765409616,-0.539026729,1.750902466,-2.409673491,0
2.861607501,0.695228752,2.583149816,-1.218652342,-3.481983802,-0.713332971,-1.968335165,1.449405967,0.247192474,2.804176732,0
0.945000785,0.511490933,-0.504938081,0.250487678,-0.790286103,-0.040897608,-3.652848438,-0.260161173,3.564121451,-1.725432438,0
3.682374468,1.703390774,0.892147935,-0.733662414,-0.921869856,-0.255668445,-1.350766053,1.102829195,0.41049772,0.080044252,0
2.220744073,-0.011956069,2.242860323,-1.627139011,-4.283512579,-0.112442521,-0.73689909,1.413852596,-1.724839114,-1.67200694,0
2.631847531,1.789177105,2.856970715,-1.477857524,-3.659814626,-1.351604067,-2.337337976,1.279889896,-0.301351731,-0.953212687,0
1.893304886,-2.358365418,0.444434165,0.327230389,-2.562623595,0.323993544,-1.650906012,-1.121921445,1.034218544,1.662404615,0
0.100593532,1.07290747,-0.722869522,0.145066292,-1.290453073,-0.591475511,-1.437697273,-2.989806867,0.340942287,-0.906793334,0
0.842075147,0.537887967,-0.018484921,-0.248770148,-2.007596391,-1.556319785,-1.461502216,-2.354411831,-0.273615806,0.385384972,0
2.198136457,-0.026487758,1.292355989,-1.146689217,-2.692312114,0.593584412,-2.845917034,3.267228486,2.027614733,-1.214762993,0
1.689483071,-0.815674514,-0.177565722,-0.096258616,-1.483202844,0.221705687,-3.030426707,1.06618169,3.15935286,2.50740968,0
