PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,NP_CCC
-1.889045415,-2.704760123,0.318173514,0.222702801,-0.160232429,0.152275632,-1.087852268,0.00028075,0
-1.791779657,-2.772341449,0.430871919,0.266893029,0.19191383,0.311847644,-0.69363739,0.080856367,0
-1.702866838,-2.681004751,0.290275154,0.34742182,0.406550611,0.675316503,-0.849344579,-0.047583028,0
-2.166787741,-2.508991498,0.001054693,0.108439581,-1.131604282,-0.253990218,-2.134346507,-0.209246167,1
-2.160979472,-1.891714503,-0.270767646,0.541790756,-0.618087067,1.329138953,-0.954001437,0.001632023,1
-1.616256357,-2.666197878,0.257938612,0.207526859,0.257514221,0.202380023,-1.168624219,-0.402129772,0
-1.636237134,2.878759275,-1.135294669,-2.636701249,-3.033534072,-4.193773023,2.152510773,-0.720000662,1
-2.130004824,-2.262164572,-0.548411134,0.594756698,-0.183053897,2.415515589,0.770907606,0.627214843,1
7.328738701,-0.834583111,-0.535122154,-0.550578996,0.469736395,-0.617781111,-0.512424766,-0.599764595,0
17.27364913,-2.511527331,-3.430488567,-0.090194333,-3.183597991,1.517303394,-0.134062211,1.356847321,0
13.38923725,-3.846154184,-2.916887985,-0.700671737,-2.980328945,-0.541397219,-2.151224674,0.820598476,0
2.695347585,-0.032901543,0.94610077,-0.922888558,3.508325363,-1.626971219,-0.876427943,-0.582059136,0
2.614525847,-0.310914462,1.09174764,0.094810679,4.002760305,0.497959636,0.648432483,-0.265654635,0
2.641386773,0.002159189,1.765325599,-0.328368551,2.080814571,-0.746154414,2.774754281,-0.487164867,0
15.75742963,-0.972038628,-3.294208971,-0.135168001,-2.174102002,1.04657765,-1.477121176,-0.648468131,0
0.600797923,0.789397514,-1.371579786,-0.405074027,-0.618503047,-0.067350021,-2.632374505,-1.122359151,1
17.62214881,-0.449208621,-3.944008829,-1.094831007,-5.309791305,-0.979430731,-1.886887412,0.873693745,0
15.26409516,-0.541480104,-2.357393163,-0.646452048,-3.595536569,-0.646242121,-0.057370003,-1.217786031,0
7.328738701,-0.834583111,-0.535122154,-0.550578996,0.469736395,-0.617781111,-0.512424766,-0.599764595,0
1.37221018,-1.001303485,0.106878993,-0.023452178,2.047622843,0.383131344,-2.03085382,-0.513747323,0
7.328738701,-0.834583111,-0.535122154,-0.550578996,0.469736395,-0.617781111,-0.512424766,-0.599764595,0
3.759156776,-1.660210385,1.749638295,-0.817860801,5.037728818,-2.479677036,-1.716653213,-2.013403571,0
