PC1,PC2,PC3,PC4,NP_CCC
-1.889045415,-2.704760123,0.318173514,0.222702801,0
-1.791779657,-2.772341449,0.430871919,0.266893029,0
-1.702866838,-2.681004751,0.290275154,0.34742182,0
-2.166787741,-2.508991498,0.001054693,0.108439581,1
-2.160979472,-1.891714503,-0.270767646,0.541790756,1
-1.616256357,-2.666197878,0.257938612,0.207526859,0
-1.636237134,2.878759275,-1.135294669,-2.636701249,1
-2.130004824,-2.262164572,-0.548411134,0.594756698,1
7.328738701,-0.834583111,-0.535122154,-0.550578996,0
17.27364913,-2.511527331,-3.430488567,-0.090194333,0
13.38923725,-3.846154184,-2.916887985,-0.700671737,0
2.695347585,-0.032901543,0.94610077,-0.922888558,0
2.614525847,-0.310914462,1.09174764,0.094810679,0
2.641386773,0.002159189,1.765325599,-0.328368551,0
15.75742963,-0.972038628,-3.294208971,-0.135168001,0
0.600797923,0.789397514,-1.371579786,-0.405074027,1
17.62214881,-0.449208621,-3.944008829,-1.094831007,0
15.26409516,-0.541480104,-2.357393163,-0.646452048,0
7.328738701,-0.834583111,-0.535122154,-0.550578996,0
1.37221018,-1.001303485,0.106878993,-0.023452178,0
7.328738701,-0.834583111,-0.535122154,-0.550578996,0
3.759156776,-1.660210385,1.749638295,-0.817860801,0
3.923030573,1.125611811,2.198045701,-1.593103371,0
7.127892207,0.082207767,-0.601897726,-0.546829703,0
2.155900815,-2.131360779,0.292925313,-0.380113263,0
3.759156776,-1.660210385,1.749638295,-0.817860801,0
2.099999018,1.303686928,0.626553387,-0.242160337,0
18.52710581,-2.348342875,-1.45578649,-0.465961927,0
3.547920326,0.164527888,2.741183864,-0.970538707,0
3.923030573,1.125611811,2.198045701,-1.593103371,0
19.17931041,-2.619302069,-2.563990914,-1.731261178,0
13.21776579,-1.607273808,-2.503838318,-0.26038338,0
4.94924168,-0.846192353,-0.387780763,-0.194093753,0
3.605180932,1.651991152,1.316807743,2.939321287,0
11.93647896,-0.733031191,-0.872929272,-0.568744251,0
4.539336505,-1.783605704,0.110421358,-0.443104167,0
3.735716877,0.021686845,-1.076127125,-0.199379232,0
8.858943755,-1.015645362,0.22356119,-0.707745251,0
12.70598402,-0.847470546,-3.552550181,-0.098176038,0
10.78907448,-0.409347673,-0.941064098,-0.358012266,0
7.328738701,-0.834583111,-0.535122154,-0.550578996,0
10.78907448,-0.409347673,-0.941064098,-0.358012266,0
7.939216706,0.403273493,0.227467703,-0.618584681,0
3.899120748,-0.440459817,-0.412872697,-0.127104235,0
3.192161162,1.475400508,2.139488361,-0.191863675,0
2.930116514,-1.144363641,0.912574479,-0.292934891,0
15.95457241,-1.552737722,-3.163376804,-0.242152016,0
1.377944625,0.520609962,-0.095614587,0.069426204,0
15.37703447,-2.81481642,-3.240634561,0.119018896,0
9.903277363,0.488949844,-1.400540646,-0.686090497,0
3.248531618,-1.300973087,2.110820601,-0.581762568,0
1.4968029,0.551866037,-0.562966717,-0.038299723,0
16.23653662,-0.598724833,-4.212317939,0.325680013,0
18.99986993,-3.426703741,-1.679831661,-1.119594767,0
4.477748076,-1.435341852,0.155002822,-0.523089706,0
3.022662062,-0.501619577,1.75327924,-0.859488044,0
3.008933524,-1.968776395,1.713868955,-0.487273255,0
2.542402346,1.850027621,1.416334306,0.147897735,0
14.80375162,-0.851208423,-5.393947829,0.004813653,1
